Invoice_ID,Client_Name,Region,Invoice_Amount,Payment_Status,Due_Date,Payment_Date,Delay_Days
INV0054,Omega Inc,East,38979,Paid,2024-02-05,2024-02-13,8.0
INV0055,XYZ Corp,East,37109,Pending,2024-01-05,,
INV0056,ABC Pvt Ltd,West,35736,Paid,2024-02-29,2024-02-29,0.0
INV0057,Omega Inc,East,45943,Pending,2024-01-06,,
INV0058,ABC Pvt Ltd,North,26135,Paid,2024-02-15,2024-02-23,8.0
INV0059,ABC Pvt Ltd,South,3627,Paid,2024-02-25,2024-02-23,-2.0
INV0060,ABC Pvt Ltd,North,34597,Paid,2024-01-28,2024-01-28,0.0
INV0061,ABC Pvt Ltd,South,2426,Paid,2024-01-25,2024-02-01,7.0
INV0062,Alpha Co,South,27960,Pending,2024-01-03,,
INV0063,Delta Ltd,West,45946,Pending,2024-01-09,,
INV0064,ABC Pvt Ltd,West,8495,Paid,2024-02-28,2024-02-27,-1.0
INV0065,XYZ Corp,East,17026,Pending,2024-01-06,,
INV0066,Omega Inc,West,29843,Paid,2024-01-13,2024-01-14,1.0
INV0067,Delta Ltd,West,37160,Paid,2024-02-20,2024-02-28,8.0
INV0068,ABC Pvt Ltd,North,19726,Paid,2024-02-11,2024-02-06,-5.0
INV0069,XYZ Corp,North,41763,Paid,2024-01-28,2024-01-31,3.0
INV0070,Alpha Co,South,40571,Paid,2024-02-25,2024-02-29,4.0
INV0071,XYZ Corp,South,38976,Pending,2024-01-15,,
INV0072,Delta Ltd,East,11609,Pending,2024-01-29,,
INV0073,Omega Inc,South,13086,Paid,2024-01-20,2024-01-15,-5.0
INV0074,Omega Inc,South,1564,Paid,2024-01-29,2024-01-31,2.0
INV0075,Omega Inc,South,25292,Paid,2024-02-26,2024-03-06,9.0
INV0076,Omega Inc,South,3341,Pending,2024-01-24,,
INV0077,Omega Inc,East,32453,Pending,2024-01-07,,
INV0078,ABC Pvt Ltd,West,35352,Pending,2024-01-12,,
INV0079,Delta Ltd,West,19643,Paid,2024-02-25,2024-03-03,7.0
INV0080,ABC Pvt Ltd,West,26068,Pending,2024-01-13,,
INV0081,Delta Ltd,East,2081,Paid,2024-02-25,2024-02-24,-1.0
INV0082,ABC Pvt Ltd,South,40084,Paid,2024-01-31,2024-02-04,4.0
INV0083,Alpha Co,North,39928,Paid,2024-02-22,2024-03-02,9.0
INV0084,Delta Ltd,East,18668,Paid,2024-01-12,2024-01-11,-1.0
INV0085,Alpha Co,South,24128,Pending,2024-01-03,,
INV0086,Alpha Co,East,30284,Paid,2024-02-05,2024-02-10,5.0
INV0087,Omega Inc,East,6415,Pending,2024-02-26,,
INV0088,Alpha Co,West,21777,Pending,2024-01-17,,
INV0089,XYZ Corp,North,38869,Paid,2024-01-03,2024-01-08,5.0
INV0090,Delta Ltd,East,32859,Paid,2024-02-26,2024-02-23,-3.0
INV0091,Delta Ltd,South,15557,Paid,2024-02-20,2024-02-16,-4.0
INV0092,XYZ Corp,North,35021,Pending,2024-01-28,,
INV0093,Omega Inc,South,8677,Paid,2024-02-17,2024-02-13,-4.0
INV0094,XYZ Corp,East,8183,Pending,2024-01-28,,
INV0095,Alpha Co,South,21436,Paid,2024-02-27,2024-02-25,-2.0
INV0096,ABC Pvt Ltd,North,6976,Paid,2024-01-24,2024-01-30,6.0
INV0097,XYZ Corp,West,33631,Pending,2024-02-20,,
INV0098,Delta Ltd,North,5466,Pending,2024-01-02,,
INV0099,Delta Ltd,East,38046,Pending,2024-02-16,,
INV0100,Omega Inc,South,41618,Paid,2024-01-31,2024-02-03,3.0
INV0101,XYZ Corp,West,41912,Pending,2024-02-08,,
INV0102,Omega Inc,South,7481,Pending,2024-02-29,,
INV0103,XYZ Corp,East,23509,Pending,2024-01-31,,
INV0104,Alpha Co,South,31481,Paid,2024-02-04,2024-02-01,-3.0
INV0105,XYZ Corp,West,34444,Paid,2024-02-24,2024-03-03,8.0
INV0106,Omega Inc,East,4607,Pending,2024-02-07,,
INV0107,Omega Inc,West,19296,Pending,2024-02-01,,
INV0108,XYZ Corp,North,14862,Paid,2024-02-19,2024-02-22,3.0
INV0109,Delta Ltd,West,12336,Paid,2024-01-22,2024-01-23,1.0
INV0110,Omega Inc,East,36093,Paid,2024-02-08,2024-02-04,-4.0
INV0111,ABC Pvt Ltd,North,45144,Paid,2024-01-14,2024-01-11,-3.0
INV0112,Alpha Co,West,28725,Pending,2024-01-22,,
INV0113,ABC Pvt Ltd,East,49911,Pending,2024-02-29,,
INV0114,Delta Ltd,South,1305,Pending,2024-02-14,,
INV0115,XYZ Corp,North,10980,Pending,2024-01-22,,
INV0116,Alpha Co,South,17007,Pending,2024-01-27,,
INV0117,ABC Pvt Ltd,South,20410,Pending,2024-02-07,,
INV0118,Omega Inc,South,7874,Paid,2024-02-28,2024-02-29,1.0
INV0119,Delta Ltd,East,1802,Pending,2024-01-18,,
INV0120,ABC Pvt Ltd,East,44120,Pending,2024-01-12,,
INV0121,XYZ Corp,West,18911,Pending,2024-02-18,,
INV0122,ABC Pvt Ltd,North,43580,Pending,2024-01-30,,
INV0123,Alpha Co,East,19341,Paid,2024-01-05,2024-01-06,1.0
INV0124,Omega Inc,East,2023,Pending,2024-01-23,,
INV0125,Alpha Co,North,16173,Pending,2024-02-01,,
INV0126,Delta Ltd,East,11181,Paid,2024-02-05,2024-02-13,8.0
INV0127,Alpha Co,North,13527,Pending,2024-01-25,,
INV0128,ABC Pvt Ltd,South,16425,Pending,2024-01-27,,
INV0129,Delta Ltd,South,6561,Pending,2024-01-05,,
INV0130,Omega Inc,South,29001,Pending,2024-01-30,,
INV0131,ABC Pvt Ltd,East,33185,Paid,2024-01-10,2024-01-05,-5.0
INV0132,Alpha Co,South,7972,Pending,2024-02-03,,
INV0133,ABC Pvt Ltd,East,42635,Paid,2024-02-01,2024-02-07,6.0
INV0134,XYZ Corp,North,29386,Paid,2024-01-11,2024-01-14,3.0
INV0135,ABC Pvt Ltd,South,26803,Paid,2024-01-03,2024-01-03,0.0
INV0136,Alpha Co,South,30159,Paid,2024-01-05,2024-01-02,-3.0
INV0137,XYZ Corp,West,38480,Paid,2024-01-25,2024-01-25,0.0
INV0138,Delta Ltd,North,32450,Pending,2024-02-19,,
INV0139,Delta Ltd,North,26806,Paid,2024-01-29,2024-01-30,1.0
INV0140,Omega Inc,West,42562,Paid,2024-02-23,2024-03-02,8.0
INV0141,Omega Inc,North,14546,Paid,2024-02-12,2024-02-15,3.0
INV0142,ABC Pvt Ltd,North,49956,Pending,2024-01-18,,
INV0143,Alpha Co,East,39147,Paid,2024-01-27,2024-01-22,-5.0
INV0144,Omega Inc,East,18177,Pending,2024-02-20,,
INV0145,ABC Pvt Ltd,North,43548,Pending,2024-01-10,,
INV0146,ABC Pvt Ltd,North,7563,Pending,2024-01-22,,
INV0147,Alpha Co,East,33311,Pending,2024-01-27,,
INV0148,XYZ Corp,West,32102,Paid,2024-01-06,2024-01-11,5.0
INV0149,Alpha Co,West,37886,Paid,2024-02-13,2024-02-20,7.0
INV0150,XYZ Corp,West,16728,Paid,2024-02-12,2024-02-15,3.0
INV0151,ABC Pvt Ltd,North,1458,Pending,2024-01-22,,
INV0152,Delta Ltd,North,10900,Paid,2024-01-27,2024-01-25,-2.0
INV0153,Omega Inc,South,43097,Paid,2024-01-19,2024-01-20,1.0
INV0154,Omega Inc,South,44932,Pending,2024-02-10,,
INV0155,Alpha Co,East,13190,Paid,2024-01-19,2024-01-15,-4.0
INV0156,ABC Pvt Ltd,North,21506,Pending,2024-01-04,,
INV0157,XYZ Corp,East,10727,Paid,2024-02-15,2024-02-16,1.0
INV0158,Alpha Co,North,37989,Paid,2024-02-26,2024-02-24,-2.0
INV0159,ABC Pvt Ltd,East,1126,Pending,2024-01-19,,
INV0160,Delta Ltd,North,8834,Pending,2024-02-01,,
INV0161,Omega Inc,South,21885,Pending,2024-02-04,,
INV0162,Alpha Co,South,18690,Pending,2024-02-13,,
INV0163,Omega Inc,South,4601,Paid,2024-01-22,2024-01-31,9.0
INV0164,XYZ Corp,North,41731,Pending,2024-01-19,,
INV0165,Alpha Co,West,39436,Pending,2024-02-14,,
INV0166,Omega Inc,West,45952,Pending,2024-02-16,,
INV0167,Alpha Co,West,11765,Paid,2024-02-04,2024-02-02,-2.0
INV0168,ABC Pvt Ltd,East,8444,Pending,2024-02-09,,
INV0169,Omega Inc,South,25704,Pending,2024-01-08,,
INV0170,XYZ Corp,South,33233,Pending,2024-02-15,,
INV0171,ABC Pvt Ltd,North,31923,Pending,2024-01-26,,
INV0172,Alpha Co,North,4090,Paid,2024-01-21,2024-01-28,7.0
INV0173,Omega Inc,West,38895,Paid,2024-02-04,2024-02-02,-2.0
INV0174,Alpha Co,East,11108,Pending,2024-01-18,,
INV0175,XYZ Corp,North,36759,Pending,2024-01-28,,
INV0176,Alpha Co,North,35308,Pending,2024-01-06,,
INV0177,Alpha Co,East,45956,Pending,2024-02-13,,
INV0178,Delta Ltd,West,44560,Pending,2024-02-02,,
INV0179,Alpha Co,East,22153,Pending,2024-02-29,,
INV0180,Delta Ltd,East,12156,Paid,2024-01-19,2024-01-26,7.0
INV0181,Alpha Co,North,22693,Paid,2024-01-23,2024-01-29,6.0
INV0182,ABC Pvt Ltd,South,39467,Pending,2024-01-10,,
INV0183,ABC Pvt Ltd,South,10564,Paid,2024-01-10,2024-01-14,4.0
INV0184,Omega Inc,West,21726,Paid,2024-02-01,2024-02-07,6.0
INV0185,Omega Inc,South,45737,Pending,2024-01-10,,
INV0186,ABC Pvt Ltd,West,43118,Paid,2024-01-23,2024-01-22,-1.0
INV0187,Delta Ltd,West,20773,Paid,2024-02-29,2024-03-02,2.0
INV0188,Omega Inc,West,34114,Pending,2024-01-21,,
INV0189,Omega Inc,South,29007,Paid,2024-02-26,2024-03-04,7.0
INV0190,Omega Inc,North,16487,Paid,2024-02-06,2024-02-09,3.0
INV0191,XYZ Corp,West,40233,Paid,2024-01-29,2024-02-03,5.0
INV0192,XYZ Corp,South,48764,Pending,2024-01-14,,
INV0193,Omega Inc,East,6507,Paid,2024-02-27,2024-03-07,9.0
INV0194,Delta Ltd,South,34540,Paid,2024-02-11,2024-02-07,-4.0
INV0195,ABC Pvt Ltd,North,21197,Paid,2024-02-05,2024-02-13,8.0
INV0196,XYZ Corp,West,14324,Paid,2024-02-16,2024-02-11,-5.0
INV0197,XYZ Corp,South,1696,Paid,2024-01-15,2024-01-14,-1.0
INV0198,Delta Ltd,West,10023,Pending,2024-01-08,,
INV0199,Delta Ltd,South,11262,Pending,2024-01-21,,
INV0200,ABC Pvt Ltd,North,40220,Pending,2024-01-06,,
INV0201,Alpha Co,East,3020,Paid,2024-02-16,2024-02-19,3.0
INV0202,ABC Pvt Ltd,West,8606,Paid,2024-02-16,2024-02-25,9.0
INV0203,Delta Ltd,South,29287,Paid,2024-01-26,2024-01-25,-1.0
INV0204,Omega Inc,East,23756,Paid,2024-01-17,2024-01-23,6.0
INV0205,Alpha Co,South,20265,Paid,2024-02-07,2024-02-10,3.0
INV0206,ABC Pvt Ltd,South,36506,Pending,2024-02-18,,
INV0207,ABC Pvt Ltd,North,38782,Pending,2024-02-18,,
INV0208,Alpha Co,North,34192,Pending,2024-02-05,,
INV0209,Alpha Co,North,24358,Pending,2024-01-12,,
INV0210,XYZ Corp,South,25892,Paid,2024-01-16,2024-01-22,6.0
INV0211,Alpha Co,West,15536,Paid,2024-01-13,2024-01-15,2.0
INV0212,ABC Pvt Ltd,West,44165,Paid,2024-02-03,2024-02-09,6.0
INV0213,Alpha Co,South,39442,Pending,2024-01-17,,
INV0214,ABC Pvt Ltd,East,43036,Paid,2024-02-03,2024-01-30,-4.0
INV0215,ABC Pvt Ltd,East,47274,Pending,2024-02-25,,
INV0216,ABC Pvt Ltd,West,17329,Paid,2024-02-02,2024-02-10,8.0
INV0217,ABC Pvt Ltd,North,34739,Paid,2024-01-21,2024-01-19,-2.0
INV0218,Omega Inc,West,12894,Paid,2024-01-19,2024-01-28,9.0
INV0219,Delta Ltd,North,25992,Pending,2024-01-19,,
INV0220,Delta Ltd,South,4203,Pending,2024-02-09,,
INV0221,Omega Inc,West,37966,Pending,2024-02-13,,
INV0222,XYZ Corp,East,5124,Pending,2024-01-27,,
INV0223,Delta Ltd,North,41036,Pending,2024-02-19,,
INV0224,XYZ Corp,North,30899,Paid,2024-02-26,2024-02-26,0.0
INV0225,Alpha Co,West,23561,Paid,2024-02-04,2024-02-11,7.0
INV0226,Alpha Co,North,3117,Paid,2024-02-27,2024-02-26,-1.0
INV0227,Omega Inc,North,37517,Pending,2024-02-19,,
INV0228,ABC Pvt Ltd,North,17082,Pending,2024-01-09,,
INV0229,ABC Pvt Ltd,South,27473,Pending,2024-01-10,,
INV0230,Alpha Co,South,17467,Pending,2024-02-17,,
INV0231,Alpha Co,North,21617,Pending,2024-01-15,,
INV0232,Alpha Co,South,38668,Pending,2024-01-23,,
INV0233,XYZ Corp,North,38039,Paid,2024-02-25,2024-02-25,0.0
INV0234,XYZ Corp,South,6066,Pending,2024-02-24,,
INV0235,XYZ Corp,East,26679,Paid,2024-02-03,2024-02-07,4.0
INV0236,Delta Ltd,South,13128,Paid,2024-02-23,2024-02-28,5.0
INV0237,XYZ Corp,South,17831,Pending,2024-02-28,,
INV0238,Alpha Co,East,4583,Paid,2024-01-31,2024-01-26,-5.0
INV0239,Omega Inc,East,47866,Paid,2024-01-03,2024-01-01,-2.0
INV0240,Delta Ltd,South,5940,Pending,2024-01-20,,
INV0241,XYZ Corp,West,1592,Paid,2024-01-14,2024-01-20,6.0
INV0242,Omega Inc,East,15688,Pending,2024-02-01,,
INV0243,Omega Inc,West,6560,Paid,2024-02-21,2024-02-21,0.0
INV0244,Delta Ltd,West,41555,Paid,2024-01-23,2024-01-27,4.0
INV0245,Alpha Co,North,34156,Paid,2024-02-17,2024-02-25,8.0
INV0246,ABC Pvt Ltd,East,12491,Pending,2024-01-19,,
INV0247,Omega Inc,West,28591,Pending,2024-02-25,,
INV0248,Alpha Co,South,30341,Paid,2024-01-08,2024-01-07,-1.0
INV0249,Alpha Co,East,48834,Pending,2024-01-24,,
INV0250,XYZ Corp,East,26764,Pending,2024-02-09,,
INV0251,XYZ Corp,East,45330,Paid,2024-02-17,2024-02-18,1.0
INV0252,ABC Pvt Ltd,East,1834,Pending,2024-01-13,,
INV0253,Alpha Co,East,10486,Paid,2024-02-15,2024-02-19,4.0
INV0254,XYZ Corp,South,38661,Paid,2024-02-10,2024-02-07,-3.0
INV0255,Alpha Co,West,9095,Paid,2024-02-01,2024-01-29,-3.0
INV0256,Alpha Co,West,8631,Pending,2024-02-12,,
INV0257,Omega Inc,South,3362,Paid,2024-01-07,2024-01-09,2.0
INV0258,Alpha Co,North,35760,Paid,2024-02-14,2024-02-13,-1.0
INV0259,XYZ Corp,East,2488,Pending,2024-02-20,,
INV0260,Omega Inc,North,17038,Pending,2024-02-03,,
INV0261,Delta Ltd,West,16675,Paid,2024-01-12,2024-01-12,0.0
INV0262,XYZ Corp,North,34768,Pending,2024-01-07,,
INV0263,Delta Ltd,South,25570,Paid,2024-01-30,2024-01-25,-5.0
INV0264,ABC Pvt Ltd,North,45570,Pending,2024-01-12,,
INV0265,Omega Inc,East,13374,Paid,2024-01-12,2024-01-21,9.0
INV0266,ABC Pvt Ltd,West,47795,Paid,2024-01-15,2024-01-13,-2.0
INV0267,ABC Pvt Ltd,South,30354,Pending,2024-02-22,,
INV0268,ABC Pvt Ltd,West,23737,Pending,2024-02-13,,
INV0269,XYZ Corp,South,1271,Paid,2024-01-09,2024-01-05,-4.0
INV0270,Alpha Co,West,39877,Paid,2024-01-25,2024-01-20,-5.0
INV0271,XYZ Corp,West,5298,Paid,2024-01-16,2024-01-22,6.0
INV0272,Omega Inc,East,16611,Paid,2024-01-18,2024-01-24,6.0
INV0273,Delta Ltd,West,24720,Pending,2024-02-12,,
INV0274,Omega Inc,East,35247,Pending,2024-02-13,,
INV0275,Omega Inc,West,48164,Pending,2024-01-21,,
INV0276,Alpha Co,South,4426,Pending,2024-02-12,,
INV0277,Alpha Co,South,6439,Paid,2024-01-23,2024-01-29,6.0
INV0278,Omega Inc,South,6861,Pending,2024-02-04,,
INV0279,ABC Pvt Ltd,South,29912,Paid,2024-01-03,2023-12-30,-4.0
INV0280,Delta Ltd,South,7077,Pending,2024-01-29,,
INV0281,Alpha Co,West,46613,Pending,2024-02-13,,
INV0282,Delta Ltd,South,45395,Paid,2024-02-03,2024-02-01,-2.0
INV0283,ABC Pvt Ltd,South,27393,Paid,2024-01-19,2024-01-20,1.0
INV0284,ABC Pvt Ltd,North,10701,Paid,2024-02-06,2024-02-12,6.0
INV0285,XYZ Corp,North,13610,Paid,2024-01-26,2024-02-03,8.0
INV0286,Omega Inc,West,21122,Paid,2024-02-23,2024-02-20,-3.0
INV0287,Delta Ltd,South,30141,Pending,2024-02-17,,
INV0288,XYZ Corp,South,8633,Paid,2024-01-29,2024-01-26,-3.0
INV0289,XYZ Corp,North,26506,Paid,2024-02-11,2024-02-06,-5.0
INV0290,Omega Inc,East,37990,Paid,2024-01-16,2024-01-23,7.0
INV0291,Alpha Co,North,7666,Pending,2024-01-28,,
INV0292,Omega Inc,East,38133,Pending,2024-01-21,,
INV0293,Omega Inc,East,40172,Paid,2024-02-07,2024-02-12,5.0
INV0294,ABC Pvt Ltd,South,26867,Paid,2024-02-27,2024-02-23,-4.0
INV0295,Alpha Co,West,25224,Paid,2024-01-10,2024-01-19,9.0
INV0296,Alpha Co,South,9465,Pending,2024-02-07,,
INV0297,Delta Ltd,East,9562,Paid,2024-02-12,2024-02-14,2.0
INV0298,ABC Pvt Ltd,North,16541,Pending,2024-02-08,,
INV0299,Alpha Co,East,12055,Pending,2024-01-16,,
INV0300,ABC Pvt Ltd,West,26250,Paid,2024-01-16,2024-01-21,5.0
INV0301,Omega Inc,North,1379,Pending,2024-02-03,,
INV0302,XYZ Corp,North,45914,Pending,2024-01-03,,
INV0303,Omega Inc,East,42841,Pending,2024-01-10,,
INV0304,XYZ Corp,North,37443,Paid,2024-01-16,2024-01-20,4.0
INV0305,Alpha Co,West,12984,Paid,2024-01-04,2024-01-08,4.0
INV0306,Delta Ltd,East,23165,Paid,2024-02-24,2024-02-21,-3.0
INV0307,XYZ Corp,South,24412,Paid,2024-01-09,2024-01-13,4.0
INV0308,Alpha Co,East,40261,Paid,2024-02-21,2024-02-27,6.0
INV0309,Alpha Co,South,22851,Pending,2024-01-12,,
INV0310,Alpha Co,East,29732,Paid,2024-01-17,2024-01-16,-1.0
INV0311,XYZ Corp,East,48392,Paid,2024-02-02,2024-01-30,-3.0
INV0312,Alpha Co,North,37207,Paid,2024-01-10,2024-01-05,-5.0
INV0313,Alpha Co,South,1640,Paid,2024-01-29,2024-02-05,7.0
INV0314,ABC Pvt Ltd,East,47489,Paid,2024-01-20,2024-01-21,1.0
INV0315,Alpha Co,East,37157,Paid,2024-01-19,2024-01-23,4.0
INV0316,XYZ Corp,West,13784,Pending,2024-02-04,,
INV0317,Delta Ltd,West,9056,Paid,2024-01-28,2024-01-25,-3.0
INV0318,Delta Ltd,South,45056,Pending,2024-02-07,,
INV0319,Omega Inc,South,43203,Paid,2024-01-07,2024-01-06,-1.0
INV0320,Alpha Co,West,23945,Pending,2024-02-24,,
INV0321,ABC Pvt Ltd,West,40182,Pending,2024-02-28,,
INV0322,XYZ Corp,North,40775,Paid,2024-01-26,2024-01-23,-3.0
INV0323,XYZ Corp,West,31964,Pending,2024-01-11,,
INV0324,Omega Inc,North,32168,Paid,2024-01-23,2024-01-27,4.0
INV0325,Alpha Co,North,49495,Pending,2024-01-09,,
INV0326,XYZ Corp,South,38170,Paid,2024-02-04,2024-02-09,5.0
INV0327,Omega Inc,South,27251,Pending,2024-01-07,,
INV0328,Omega Inc,North,32876,Pending,2024-01-23,,
INV0329,Delta Ltd,South,46225,Pending,2024-01-02,,
INV0330,XYZ Corp,South,43512,Pending,2024-01-11,,
INV0331,Alpha Co,West,26174,Paid,2024-01-03,2024-01-01,-2.0
INV0332,Alpha Co,North,10232,Pending,2024-02-17,,
INV0333,Omega Inc,South,33348,Paid,2024-01-10,2024-01-19,9.0
INV0334,XYZ Corp,South,44302,Pending,2024-01-07,,
INV0335,Delta Ltd,East,3738,Pending,2024-02-17,,
INV0336,XYZ Corp,West,14222,Paid,2024-02-19,2024-02-15,-4.0
INV0337,Alpha Co,West,33538,Paid,2024-02-11,2024-02-17,6.0
INV0338,Omega Inc,West,3552,Paid,2024-02-13,2024-02-16,3.0
INV0339,Delta Ltd,West,31821,Paid,2024-01-24,2024-01-30,6.0
INV0340,Omega Inc,West,33983,Paid,2024-01-06,2024-01-12,6.0
INV0341,Delta Ltd,West,39472,Paid,2024-02-13,2024-02-09,-4.0
INV0342,Alpha Co,East,45919,Paid,2024-02-05,2024-02-05,0.0
INV0343,ABC Pvt Ltd,East,41646,Paid,2024-01-09,2024-01-10,1.0
INV0344,Alpha Co,East,32356,Paid,2024-01-02,2024-01-03,1.0
INV0345,Omega Inc,North,27515,Paid,2024-02-03,2024-02-04,1.0
INV0346,Alpha Co,North,10864,Paid,2024-01-16,2024-01-25,9.0
INV0347,Omega Inc,South,40964,Paid,2024-02-18,2024-02-23,5.0
INV0348,ABC Pvt Ltd,West,22650,Pending,2024-01-13,,
INV0349,Omega Inc,North,18963,Pending,2024-01-18,,
INV0350,XYZ Corp,South,22035,Pending,2024-02-19,,
INV0351,Omega Inc,South,44690,Paid,2024-01-05,2023-12-31,-5.0
INV0352,Omega Inc,South,16818,Paid,2024-02-01,2024-02-02,1.0
INV0353,Alpha Co,East,3234,Pending,2024-01-24,,
INV0354,Delta Ltd,South,24505,Paid,2024-01-04,2024-01-06,2.0
INV0355,XYZ Corp,North,49860,Pending,2024-01-29,,
INV0356,Delta Ltd,North,25856,Paid,2024-02-25,2024-02-20,-5.0
INV0357,Delta Ltd,South,11939,Pending,2024-02-23,,
INV0358,Alpha Co,South,39653,Pending,2024-02-28,,
INV0359,ABC Pvt Ltd,South,44658,Paid,2024-01-14,2024-01-16,2.0
INV0360,ABC Pvt Ltd,South,34056,Pending,2024-01-13,,
INV0361,Delta Ltd,South,23469,Paid,2024-02-15,2024-02-23,8.0
INV0362,Delta Ltd,South,31895,Pending,2024-02-22,,
INV0363,Omega Inc,South,8876,Pending,2024-02-26,,
INV0364,ABC Pvt Ltd,West,33832,Pending,2024-02-12,,
INV0365,Alpha Co,North,40095,Paid,2024-02-16,2024-02-23,7.0
INV0366,Delta Ltd,West,32041,Paid,2024-01-08,2024-01-10,2.0
INV0367,Delta Ltd,West,47609,Paid,2024-02-11,2024-02-10,-1.0
INV0368,Omega Inc,West,30000,Pending,2024-01-07,,
INV0369,ABC Pvt Ltd,South,43205,Paid,2024-01-25,2024-02-02,8.0
INV0370,ABC Pvt Ltd,South,5414,Pending,2024-01-09,,
INV0371,Delta Ltd,North,44134,Paid,2024-01-12,2024-01-12,0.0
INV0372,Alpha Co,North,34788,Pending,2024-02-14,,
INV0373,XYZ Corp,North,32328,Paid,2024-01-18,2024-01-20,2.0
INV0374,Delta Ltd,North,34642,Pending,2024-01-19,,
INV0375,Omega Inc,North,14339,Pending,2024-01-11,,
INV0376,Omega Inc,South,9483,Pending,2024-01-13,,
INV0377,Alpha Co,West,24655,Pending,2024-01-14,,
INV0378,Omega Inc,East,15995,Paid,2024-02-13,2024-02-11,-2.0
INV0379,Alpha Co,East,29140,Paid,2024-01-26,2024-01-25,-1.0
INV0380,Omega Inc,East,1008,Pending,2024-01-11,,
INV0381,ABC Pvt Ltd,South,49936,Pending,2024-02-19,,
INV0382,Delta Ltd,South,39951,Paid,2024-01-10,2024-01-07,-3.0
INV0383,Delta Ltd,South,48714,Pending,2024-02-09,,
INV0384,XYZ Corp,East,32506,Paid,2024-02-24,2024-02-28,4.0
